Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0337.cnf,true,63750,true,281607,281607,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0451.cnf,true,1905292,true,255151,255151,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0479.cnf,true,865708,true,256139,256139,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-016.cnf,true,1156500,true,44045,44045,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0684.cnf,true,1155666,true,2175120,2175120,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0690.cnf,true,576750,true,452447,452447,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0848.cnf,true,1661500,true,372204,372204,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0860.cnf,true,2271625,true,1522,1522,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0874.cnf,true,2174542,true,262765,262765,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0121.cnf,true,1768375,true,962202,962202,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0647.cnf,true,1383209,true,1560277,1560277,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0653.cnf,true,2008584,true,546589,546589,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0135.cnf,true,1373375,true,439249,439249,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0109.cnf,true,791625,true,605956,605956,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0928.cnf,true,323583,true,7760,7760,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0914.cnf,true,1052917,true,236619,236619,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0900.cnf,true,1163625,true,225016,225016,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0733.cnf,true,1387625,true,2149609,2149609,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0727.cnf,true,98542,true,3281,3281,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0294.cnf,true,1188209,true,145592,145592,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0280.cnf,true,2422791,true,1987391,1987391,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0531.cnf,true,1694208,true,65962,65962,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0257.cnf,true,1151250,true,1358763,1358763,0,1,"Torus(1, 1)",1000000
